"","BDsite"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",1.26833333333333
"75",1.26833333333333
"76",1.26833333333333
"77",1.26833333333333
"78",1.32833333333333
"79",1.29416666666684
"80",1.33
"81",1.33416666666665
"82",1.22
"83",1.32816666666661
"84",1.22
"85",1.32
"86",0.65
"87",0.65
"88",1.41
"89",1.41
"90",1.22
"91",1.24166666666682
"92",1.22
"93",1.22
"94",1.22
"95",1.26
"96",1.22
"97",1.22
"98",1.22
"99",1.22
"100",1.22
"101",1.22
"102",1.22
"103",1.22
"104",1.22
"105",1.22
"106",1.22
"107",1.22
"108",1.22
"109",1.22
"110",1.22
"111",1.22
"112",1.22
"113",1.22
"114",1.22
"115",1.22
"116",1.22
"117",1.22
"118",1.22
"119",1.22
"120",1.22
"121",1.22
"122",1.22
"123",1.3375
"124",1.22
"125",1.22
"126",1.22
"127",1.22
"128",1.22
"129",1.22
"130",1.379
"131",1.379
"132",1.379
"133",1.379
"134",1.379
"135",1.379
"136",1.379
"137",1.379
"138",1.379
"139",1.379
"140",1.379
"141",1.379
"142",1.22
"143",1.22
"144",1.22
"145",1.22
"146",1.22
"147",1.22
"148",1.22
"149",1.22
"150",1.22
"151",1.22
"152",1.22
"153",1.22
"154",1.22
"155",1.22
"156",1.22
"157",1.22
"158",1.22
"159",1.22
"160",1.29999999999973
"161",1.39
"162",1.32
"163",1.25
"164",1.33249999999998
"165",1.19
"166",1.26
"167",1.32
"168",1.28
"169",1.31333333333334
"170",1.3
"171",1.34
"172",1.34
"173",1.34
"174",1.34
"175",1.40499999999991
"176",1.32
"177",1.42
"178",1.25416666666667
"179",1.19
"180",1.19
"181",1.19
"182",1.19
"183",1.19
"184",1.15550000000015
"185",1.25499999999998
"186",1.25499999999998
"187",1.31
"188",1.31
"189",1.31
"190",1.17833333333334
"191",1.17833333333334
"192",1.17833333333334
"193",1.17833333333334
"194",1.32
"195",1.1
"196",1.36
"197",1.36
"198",1.36
"199",1.29
"200",1.22
"201",1.29499999999988
"202",1.33499999999999
"203",1.36
"204",1.36
"205",1.29
"206",1.36833333333334
"207",1.26333333333333
"208",1.41
"209",1.3
"210",1.29
"211",1.26
"212",1.19
"213",1.31
"214",1.31
"215",1.31
"216",1.29566666666659
"217",1.29566666666659
"218",1.29566666666659
"219",1.19499999999997
"220",1.32416666666657
"221",1.32416666666657
"222",1.3385
"223",1.3385
"224",1.3385
"225",1.3385
"226",1.3385
"227",1.3385
"228",1.3385
"229",1.3385
"230",1.3385
"231",1.30999999999999
"232",1.36
"233",1.26
"234",1.36
"235",1.22
"236",1.3
"237",1.36
"238",1.19
"239",1.19
"240",1.19
"241",1.32
"242",1.34436448000004
"243",1.28337386666687
"244",1.22
"245",1.26
"246",1.08329663999998
"247",1.19895445333332
"248",1.28
"249",1.26298666666667
"250",1.33
"251",1.51
"252",1.33
"253",1.26
"254",1.33437439999992
"255",1.36492106666658
"256",1.51
"257",1.48
"258",1.32797824000001
"259",1.4
"260",1.26
"261",1.28
"262",1.19
"263",1.11701959999993
"264",1.34
"265",1.31350826666664
"266",1.19
"267",1.33477589333333
"268",1.19191018666667
"269",1.31813333333335
"270",1.34
"271",1.22305570222087
"272",1.22305570222087
"273",1.37
"274",1.37
"275",1.33683786666665
"276",1.32114666666666
"277",1.3
"278",1.3
"279",1.30066666666665
"280",1.22
"281",1.3
"282",1.3
"283",1.22
"284",1.22
"285",1.22
"286",1.22
"287",1.22
"288",1.22
"289",1.22
"290",1.22
"291",1.22
"292",1.22
"293",1.22
"294",1.22
"295",1.22
"296",1.22
"297",1.22
"298",1.22
"299",1.22
"300",1.22
"301",1.22
"302",1.22
"303",1.28
"304",1.3
"305",1.19299999999998
"306",1.3
"307",1.317
"308",1.32
"309",1.32
"310",1.32
"311",1.31
"312",1.31
"313",1.322
"314",1.322
"315",1.322
"316",1.31
"317",1.22293333333334
"318",1.31073333333335
"319",1.22
"320",1.3
"321",1.34
"322",1.22
"323",1.33973333333333
"324",1.22
"325",1.33
"326",1.36
"327",NA
"328",1.3
"329",1.3
"330",1.3
"331",1.3
"332",1.1
"333",1.34
"334",1.13641023999995
"335",1.19212
"336",1.34
"337",1.19
"338",1.33
"339",1.22
"340",1.35
"341",1.36
"342",1.33
"343",1.36
"344",1.33
"345",1.41
"346",1.40984693165334
"347",1.22
"348",1.24250003400012
"349",1.19
"350",1.3
"351",1.3
"352",1.28
"353",1.3
"354",1.25883584000003
"355",NA
"356",1.19631999999998
"357",1.32
"358",1.22
"359",1.27983333333348
"360",1.3
"361",1.26
"362",1.26
"363",1.26
"364",1.26
"365",1.33
"366",1.22
"367",1.33
"368",1.31500000000002
"369",1.0557
"370",NA
"371",1.33
"372",1.3
"373",1.2
"374",1.19936666666666
"375",1.26051200000003
"376",1.22
"377",1.22
"378",1.19
"379",1.22
"380",1.25
"381",1.33
"382",1.3
"383",1.35204000000017
"384",1.22
"385",1.22
"386",1.12
"387",1.35304000000005
"388",1.19348000000003
"389",1.17711106133341
"390",1.17711106133341
"391",1.17711106133341
"392",1.37
"393",1.39008266666671
"394",1.26
"395",1.32
"396",1.19
"397",1.19
"398",1.3
"399",1.25200000000004
"400",1.25200000000004
"401",1.25200000000004
"402",1.25200000000004
"403",1.25200000000004
"404",1.25200000000004
"405",1.25200000000004
"406",1.25200000000004
"407",1.25200000000004
"408",1.25200000000004
"409",1.25200000000004
"410",1.25200000000004
"411",1.25200000000004
"412",1.25200000000004
"413",1.25200000000004
"414",1.25200000000004
"415",1.25200000000004
"416",1.25200000000004
"417",1.25200000000004
"418",1.25200000000004
"419",1.25200000000004
"420",1.25200000000004
"421",1.25200000000004
"422",1.25200000000004
"423",1.25200000000004
"424",1.25200000000004
"425",1.25200000000004
"426",1.25200000000004
"427",1.25200000000004
"428",1.25200000000004
"429",1.25200000000004
"430",1.25200000000004
"431",1.25200000000004
"432",1.25200000000004
"433",1.25200000000004
"434",1.25200000000004
"435",1.25200000000004
"436",1.25200000000004
"437",1.25200000000004
"438",1.25200000000004
"439",1.25200000000004
"440",1.25200000000004
"441",1.25200000000004
"442",1.25200000000004
"443",1.25200000000004
"444",1.25200000000004
"445",1.41
"446",1.3512999999999
"447",1.3512999999999
"448",1.3512999999999
"449",1.3512999999999
"450",1.3512999999999
"451",1.3512999999999
"452",1.30700000000007
"453",1.30700000000007
"454",1.30700000000007
"455",1.30700000000007
"456",1.30700000000007
"457",1.30700000000007
"458",1.30700000000007
"459",1.30700000000007
"460",1.30700000000007
"461",1.30700000000007
"462",1.31363872000002
"463",1.1
"464",1.26430666666667
"465",1.33
"466",1.39
"467",1.226168
"468",1.14
"469",1.339048
"470",1.19
"471",1.25143199999992
"472",1.19673333333333
"473",1.33945792
"474",1.3
"475",NA
"476",1.3
"477",1.33
"478",1.19
"479",1.24392000000003
"480",NA
"481",NA
"482",NA
"483",NA
"484",1.12
"485",1.22
"486",1.22
"487",1.22
"488",1.22
"489",1.22
"490",1.17
"491",1.33
"492",1.33249999999999
"493",1.33249999999999
"494",1.32
"495",1.34
"496",1.30150000000004
"497",1.3
"498",1.3
"499",1.28666666666666
"500",1.19
"501",1.19
"502",1.19
"503",1.33
"504",1.34
"505",1.31
"506",1.22
"507",1.29750000000012
"508",1.22
"509",1.19
"510",1.19
"511",1.22
"512",1.19
"513",1.19
"514",1.19
"515",1.19
"516",1.19
"517",1.19
"518",1.19
"519",1.19
"520",1.19
"521",1.19
"522",1.19
"523",1.19
"524",1.31666666666661
"525",1.1
"526",1.1
"527",1.1
"528",1.1
"529",1.25
"530",1.14
"531",1.14
"532",1.31
"533",1.31
"534",1.31
"535",1.31
"536",1.31
"537",1.26
"538",1.18666666666683
"539",1.22
"540",1.31
"541",1.36
"542",1.36
"543",1.34
"544",1.32
"545",1.33
"546",1.29
"547",1.29
"548",1.2775
"549",1.295
"550",1.295
"551",1.19
"552",1.365
"553",1.1
"554",1.19
"555",1.19
"556",1.24749998000002
"557",1.24749998000002
"558",1.24550000000001
"559",1.31
"560",1.31
"561",1.33
"562",1.3
"563",1.3
"564",1.19
"565",1.33
"566",1.19
"567",1.3
"568",1.17
"569",1.32338666666667
"570",1.24824757333351
"571",1.32
"572",1.22
"573",1.19
"574",1.28445333333331
"575",NA
"576",1.33
"577",1.19
"578",1.36
"579",1.34
"580",1.22
"581",1.34
"582",1.23
"583",1.35473333333333
"584",1.35473333333333
"585",1.3
"586",1.3
"587",1.19
"588",1.19
"589",1.31
"590",1.31
"591",1.34
"592",1.34
"593",1.34
"594",1.31
"595",1.31
"596",1.31
"597",1.29833333333333
"598",1.29833333333333
"599",1.29833333333333
"600",1.29833333333333
"601",1.29833333333333
"602",1.29833333333333
"603",1.35
"604",1.36
"605",1.19
"606",1.3
"607",1.29607999999999
"608",1.32068159999999
"609",1.31419999999992
"610",1.23
"611",1.20929333333336
"612",1.32179999999999
"613",1.22
"614",1.41
"615",1.26
"616",1.38947733333341
"617",1.22
"618",1.33
