"","GRAVsite"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",21.999999999996
"75",21.999999999996
"76",21.999999999996
"77",21.999999999996
"78",17.8333333333291
"79",9.91666666667433
"80",11
"81",17.2500000000138
"82",21
"83",28.8666666666629
"84",15
"85",11
"86",0
"87",0
"88",0
"89",0
"90",11
"91",16.9999999999331
"92",18
"93",18
"94",18
"95",5
"96",15.8333333333344
"97",15.8333333333344
"98",15.8333333333344
"99",15.8333333333344
"100",15.8333333333344
"101",15.8333333333344
"102",15.8333333333344
"103",15.8333333333344
"104",15.8333333333344
"105",15.8333333333344
"106",15.8333333333344
"107",15.8333333333344
"108",15.8333333333344
"109",15.8333333333344
"110",15.8333333333344
"111",20
"112",20
"113",20
"114",20
"115",20
"116",20
"117",20
"118",20
"119",20
"120",20
"121",20
"122",20
"123",9.75
"124",20
"125",20
"126",20
"127",20
"128",20
"129",20
"130",28.8
"131",28.8
"132",28.8
"133",28.8
"134",28.8
"135",28.8
"136",28.8
"137",28.8
"138",28.8
"139",28.8
"140",28.8
"141",28.8
"142",20
"143",20
"144",20
"145",20
"146",20
"147",20
"148",20
"149",20
"150",20
"151",20
"152",20
"153",20
"154",20
"155",20
"156",20
"157",20
"158",20
"159",20
"160",7.25000000002217
"161",30
"162",42
"163",26.5
"164",3.16666666666689
"165",15
"166",5
"167",2
"168",17
"169",13.3333333333364
"170",25
"171",4
"172",4
"173",4
"174",4
"175",0.700000000011937
"176",4
"177",4
"178",6.75000000000033
"179",15.833333333336
"180",17
"181",17
"182",15
"183",15
"184",19.4500000000225
"185",15
"186",15
"187",10
"188",10
"189",10
"190",5
"191",5
"192",5
"193",5
"194",4
"195",10
"196",7
"197",7
"198",7
"199",10
"200",11
"201",14.9999999999659
"202",20.9999999999947
"203",7
"204",7
"205",17
"206",5.83333333333179
"207",15.5833333333337
"208",0
"209",27
"210",4
"211",5
"212",15
"213",26
"214",26
"215",26
"216",11.8999999999982
"217",11.8999999999982
"218",11.8999999999982
"219",14.9999999999867
"220",7.58333333335991
"221",7.58333333335991
"222",13.3499999999992
"223",13.3499999999992
"224",13.3499999999992
"225",13.3499999999992
"226",13.3499999999992
"227",13.3499999999992
"228",13.3499999999992
"229",13.3499999999992
"230",13.3499999999992
"231",15.7500000000017
"232",38
"233",5
"234",38
"235",25
"236",26
"237",7
"238",16
"239",16
"240",16
"241",2
"242",12.3977280000165
"243",25.1862400000223
"244",11
"245",8
"246",10.9194026666639
"247",4.25465600001215
"248",4
"249",6.49333333333643
"250",25
"251",1
"252",21
"253",5
"254",6.35935999999805
"255",17.761919999997
"256",1
"257",0
"258",13.7753600000007
"259",19
"260",5
"261",8
"262",16.3601493333297
"263",9.73351999999931
"264",12
"265",5.83770666666591
"266",15
"267",25
"268",12.7077759999908
"269",20.9000000000033
"270",4
"271",21.2222328887904
"272",21.2222328887904
"273",2
"274",2
"275",25
"276",5.55733333333325
"277",11
"278",26
"279",18.6166666666652
"280",12
"281",27
"282",25
"283",32
"284",25
"285",25
"286",25
"287",25
"288",25
"289",25
"290",25
"291",25
"292",25
"293",25
"294",25
"295",25
"296",25
"297",25
"298",25
"299",25
"300",11
"301",11
"302",17
"303",17
"304",25
"305",15.5333333333301
"306",21.1199999999991
"307",7.5
"308",2
"309",2
"310",2
"311",10
"312",10
"313",2.7
"314",2.7
"315",2.7
"316",5
"317",17.8533333333332
"318",5.58666666668303
"319",11
"320",11
"321",25
"322",11
"323",24.9333333333326
"324",11
"325",25
"326",11
"327",NA
"328",27
"329",27
"330",27
"331",26
"332",22.6733333333358
"333",14
"334",7.34431999999282
"335",12.4559999999992
"336",25
"337",17
"338",29
"339",7
"340",3
"341",7
"342",11
"343",7
"344",25
"345",0
"346",0.0214295685326381
"347",5
"348",4.27778155556923
"349",11
"350",26
"351",27
"352",25
"353",25
"354",20.4144320000075
"355",NA
"356",7.41600000002783
"357",2
"358",15
"359",24.8000000000157
"360",25
"361",5
"362",5
"363",5
"364",5
"365",25
"366",11
"367",25
"368",29.5999999999993
"369",6.01333333333351
"370",NA
"371",25
"372",26
"373",3
"374",3.76000000001309
"375",26.0943999999845
"376",12
"377",11
"378",15
"379",11.3265863733875
"380",17
"381",21
"382",24
"383",27.0479999999198
"384",25
"385",12
"386",9
"387",25.380000000006
"388",10.8239999999599
"389",7.91111173333243
"390",7.91111173333243
"391",7.91111173333243
"392",0
"393",4.38181333332434
"394",7
"395",2
"396",15
"397",15
"398",42
"399",4.30000000000099
"400",4.30000000000099
"401",4.30000000000099
"402",4.30000000000099
"403",4.30000000000099
"404",4.30000000000099
"405",4.30000000000099
"406",4.30000000000099
"407",4.30000000000099
"408",4.30000000000099
"409",4.30000000000099
"410",4.30000000000099
"411",4.30000000000099
"412",4.30000000000099
"413",4.30000000000099
"414",4.30000000000099
"415",4.30000000000099
"416",4.30000000000099
"417",4.30000000000099
"418",4.30000000000099
"419",4.30000000000099
"420",4.30000000000099
"421",4.30000000000099
"422",4.30000000000099
"423",4.30000000000099
"424",4.30000000000099
"425",4.30000000000099
"426",4.30000000000099
"427",4.30000000000099
"428",4.30000000000099
"429",4.30000000000099
"430",4.30000000000099
"431",4.30000000000099
"432",4.30000000000099
"433",4.30000000000099
"434",4.30000000000099
"435",4.30000000000099
"436",4.30000000000099
"437",4.30000000000099
"438",4.30000000000099
"439",4.30000000000099
"440",4.30000000000099
"441",4.30000000000099
"442",4.30000000000099
"443",4.30000000000099
"444",4.30000000000099
"445",0
"446",0.5100000000028
"447",0.5100000000028
"448",0.5100000000028
"449",0.5100000000028
"450",0.5100000000028
"451",0.5100000000028
"452",3.68999999999082
"453",3.68999999999082
"454",3.68999999999082
"455",3.68999999999082
"456",3.68999999999082
"457",3.68999999999082
"458",3.68999999999082
"459",3.68999999999082
"460",3.68999999999082
"461",3.68999999999082
"462",6.75655466665705
"463",2
"464",9.30666666667352
"465",21.5876906666689
"466",30
"467",19.6036800000004
"468",4.75503999999751
"469",11.9048000000001
"470",17
"471",23.714799999988
"472",6.91999999999867
"473",11.9457919999999
"474",24
"475",NA
"476",25
"477",14
"478",15
"479",6.27199999999905
"480",NA
"481",NA
"482",NA
"483",NA
"484",5
"485",19.7499999999942
"486",19.7499999999942
"487",19.7499999999942
"488",19.7499999999942
"489",19.7499999999942
"490",8
"491",21
"492",18.7500000000062
"493",18.7500000000062
"494",11
"495",25
"496",24.1333333333369
"497",24
"498",25
"499",26.1666666666646
"500",15
"501",17
"502",17
"503",6
"504",12
"505",7
"506",13
"507",32.7500000000868
"508",11
"509",15
"510",15
"511",9
"512",15
"513",15
"514",15
"515",15
"516",15
"517",15
"518",15
"519",15
"520",15
"521",15
"522",15
"523",15
"524",14.5000000000246
"525",24.0833333333194
"526",24.0833333333194
"527",24.0833333333194
"528",24.0833333333194
"529",18
"530",5
"531",5
"532",11
"533",11
"534",11
"535",11
"536",11
"537",25
"538",15.0000000000227
"539",8
"540",5
"541",11
"542",11
"543",14
"544",42
"545",14
"546",31
"547",31
"548",35.75
"549",20.25
"550",20.25
"551",15
"552",21
"553",22
"554",15
"555",15
"556",12.3333280000045
"557",12.3333280000045
"558",11.8000000000031
"559",7
"560",5
"561",6
"562",25
"563",25
"564",15
"565",6
"566",17
"567",26
"568",5
"569",8.43466666666583
"570",18.7405439999512
"571",4
"572",18
"573",16.0632746666681
"574",24.4453333333309
"575",NA
"576",25
"577",15
"578",38
"579",9
"580",12
"581",12
"582",6
"583",4.8933333333326
"584",4.8933333333326
"585",8.5
"586",8.5
"587",15
"588",15
"589",11
"590",11
"591",25
"592",25
"593",25
"594",11
"595",11
"596",11
"597",21.0999999999977
"598",21.0999999999977
"599",21.0999999999977
"600",21.0999999999977
"601",21.0999999999977
"602",21.0999999999977
"603",3
"604",16
"605",15
"606",25
"607",7.78133333333139
"608",5.86687999999981
"609",20.7893333333323
"610",6
"611",16.4360000000058
"612",18.2666666666622
"613",25
"614",0
"615",10
"616",4.51498666665014
"617",32
"618",29
"619",15
"620",6.67192000000763
"621",6
"622",25
"623",25
"624",25
"625",25
"626",NA
"627",3
"628",10
"629",18.3
"630",7.62999999999562
"631",7
"632",11.0333333333331
"633",11
"634",13.7
"635",17.7666666666682
"636",11
"637",4.39
"638",15
"639",11
"640",19.4999999999901
"641",15
"642",0
"643",25
"644",3
"645",15
"646",15
"647",2
"648",15
"649",15
"650",26
"651",26
"652",26
"653",26
"654",26
"655",26
"656",26
"657",26
"658",26
"659",26
"660",26
"661",26
"662",26
"663",26
"664",26
"665",26
"666",26
"667",26
"668",26
"669",26
"670",26
"671",26
"672",26
"673",26
"674",26
"675",26
"676",26
"677",26
"678",26
"679",26
"680",26
"681",26
"682",26
"683",26
"684",16.1600000000003
"685",13.2
"686",15
"687",24
"688",21.3839999999995
"689",15
"690",10.848512000002
"691",25
"692",32
"693",23.3933119999917
"694",0
"695",0
"696",0
"697",8.11802202864345
"698",0
"699",4
"700",4.52775864444187
"701",13
"702",2
