"","OCsite"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",0.876666666666901
"75",0.876666666666901
"76",0.876666666666901
"77",0.876666666666901
"78",3.08166666666656
"79",1.66000000000018
"80",0.92
"81",1.2183333333322
"82",1.09
"83",0.893333333333429
"84",1.05
"85",0.69
"86",16.76
"87",16.76
"88",0.88
"89",0.88
"90",4.08
"91",2.89749999999695
"92",1.34
"93",1.34
"94",1.34
"95",0.74
"96",0.949999999999841
"97",0.949999999999841
"98",0.949999999999841
"99",0.949999999999841
"100",0.949999999999841
"101",0.949999999999841
"102",0.949999999999841
"103",0.949999999999841
"104",0.949999999999841
"105",0.949999999999841
"106",0.949999999999841
"107",0.949999999999841
"108",0.949999999999841
"109",0.949999999999841
"110",0.949999999999841
"111",0.35
"112",0.35
"113",0.35
"114",0.35
"115",0.35
"116",0.35
"117",0.35
"118",0.35
"119",0.35
"120",0.35
"121",0.35
"122",0.35
"123",0.755
"124",0.35
"125",0.35
"126",0.35
"127",0.35
"128",0.35
"129",0.35
"130",0.81
"131",0.81
"132",0.81
"133",0.81
"134",0.81
"135",0.81
"136",0.81
"137",0.81
"138",0.81
"139",0.81
"140",0.81
"141",0.81
"142",0.35
"143",0.35
"144",0.35
"145",0.35
"146",0.35
"147",0.35
"148",0.35
"149",0.35
"150",0.35
"151",0.35
"152",0.35
"153",0.35
"154",0.35
"155",0.35
"156",0.35
"157",0.35
"158",0.35
"159",0.35
"160",0.752500000001518
"161",0.83
"162",0.52
"163",3.46
"164",1.01500000000005
"165",0.43
"166",1.3
"167",2.92
"168",3.95
"169",4.39499999999926
"170",0.74
"171",0.55
"172",0.55
"173",0.55
"174",0.55
"175",0.763000000001927
"176",0.58
"177",0.59
"178",1.42250000000002
"179",0.566666666666562
"180",0.52
"181",0.52
"182",0.6
"183",0.44
"184",1.98299999999804
"185",6.44999999999557
"186",6.44999999999557
"187",3.09
"188",3.09
"189",3.09
"190",5.44999999999989
"191",5.44999999999989
"192",5.44999999999989
"193",5.44999999999989
"194",0.49
"195",4.14
"196",1.78
"197",1.78
"198",1.78
"199",2.31
"200",3.96
"201",1.33499999999903
"202",3.86000000000037
"203",1.78
"204",1.78
"205",1.57
"206",1.59166666666642
"207",0.73583333333334
"208",0.48
"209",0.74
"210",1.235
"211",1.3
"212",0.43
"213",0.38
"214",0.38
"215",0.38
"216",4.26283333333394
"217",4.26283333333394
"218",4.26283333333394
"219",1.2350000000007
"220",0.865000000001091
"221",0.865000000001091
"222",2.17249999999997
"223",2.17249999999997
"224",2.17249999999997
"225",2.17249999999997
"226",2.17249999999997
"227",2.17249999999997
"228",2.17249999999997
"229",2.17249999999997
"230",2.17249999999997
"231",2.02500000000017
"232",2.03
"233",1.6
"234",2.03
"235",1.68
"236",0.74
"237",1.78
"238",0.35
"239",0.35
"240",0.35
"241",2.71
"242",0.764806400000061
"243",0.724885333333519
"244",5.07
"245",1.28
"246",3.2864851200004
"247",0.676407893333202
"248",1.23
"249",0.721493333333336
"250",1.54
"251",0.2
"252",2.47
"253",1.05
"254",1.67749759999969
"255",1.13444106666732
"256",0.2
"257",0
"258",0.752579839999962
"259",0.86
"260",1.05
"261",1.64
"262",0.510804479999891
"263",5.34616440000063
"264",1.71
"265",0.510310933333568
"266",0.558992426666567
"267",2.76143850666527
"268",0.547754666666858
"269",2.7962666666667
"270",0.59
"271",1.08444417778024
"272",1.08444417778024
"273",1.04
"274",1.04
"275",3.25425013333036
"276",2.36120661333507
"277",4.67
"278",0.74
"279",1.09650000000008
"280",2.52
"281",0.74
"282",0.74
"283",0.75
"284",0.7
"285",0.7
"286",0.7
"287",0.7
"288",0.7
"289",0.7
"290",0.7
"291",0.7
"292",0.7
"293",0.7
"294",0.7
"295",0.7
"296",0.7
"297",0.7
"298",0.7
"299",0.7
"300",3.96
"301",3.96
"302",1.2
"303",3.95
"304",0.74
"305",0.405999999999905
"306",0.74
"307",1.057
"308",2.92
"309",2.92
"310",2.92
"311",3.09
"312",3.09
"313",2.268
"314",2.268
"315",2.268
"316",2.23716666666623
"317",1.46246666666674
"318",0.979633333333323
"319",3.96
"320",4.67
"321",4.01
"322",3.96
"323",3.99969999999989
"324",3.96
"325",1.62
"326",0.61
"327",NA
"328",0.74
"329",0.74
"330",0.74
"331",0.74
"332",2.17970666666753
"333",0.88
"334",3.83109920000092
"335",0.516640000000015
"336",4.01
"337",0.53
"338",0.77
"339",1.57
"340",0.98
"341",1.78
"342",0.92
"343",1.78
"344",1.62
"345",0.48
"346",0.479204044597359
"347",5.05
"348",1.2855553591104
"349",10.23
"350",0.74
"351",0.74
"352",0.91
"353",0.74
"354",1.30153695999936
"355",NA
"356",0.66903999999949
"357",2.71
"358",1.63
"359",0.721666666666797
"360",0.74
"361",1.51
"362",1.51
"363",1.51
"364",1.51
"365",1.62
"366",3.96
"367",1.62
"368",0.884000000000007
"369",3.98559999999997
"370",NA
"371",1.62
"372",0.74
"373",0.75
"374",0.681766666666525
"375",2.57976000000625
"376",2.52
"377",3.96
"378",0.47
"379",4.22619621721559
"380",0.84
"381",0.91
"382",0.74
"383",0.58083999999979
"384",0.7
"385",2.52
"386",6.2
"387",1.31124000000039
"388",0.520480000000869
"389",1.60711148133279
"390",1.60711148133279
"391",1.60711148133279
"392",0.47
"393",0.651289066666315
"394",1.68
"395",2.08
"396",0.43
"397",0.47
"398",1.31
"399",1.34800000000016
"400",1.34800000000016
"401",1.34800000000016
"402",1.34800000000016
"403",1.34800000000016
"404",1.34800000000016
"405",1.34800000000016
"406",1.34800000000016
"407",1.34800000000016
"408",1.34800000000016
"409",1.34800000000016
"410",1.34800000000016
"411",1.34800000000016
"412",1.34800000000016
"413",1.34800000000016
"414",1.34800000000016
"415",1.34800000000016
"416",1.34800000000016
"417",1.34800000000016
"418",1.34800000000016
"419",1.34800000000016
"420",1.34800000000016
"421",1.34800000000016
"422",1.34800000000016
"423",1.34800000000016
"424",1.34800000000016
"425",1.34800000000016
"426",1.34800000000016
"427",1.34800000000016
"428",1.34800000000016
"429",1.34800000000016
"430",1.34800000000016
"431",1.34800000000016
"432",1.34800000000016
"433",1.34800000000016
"434",1.34800000000016
"435",1.34800000000016
"436",1.34800000000016
"437",1.34800000000016
"438",1.34800000000016
"439",1.34800000000016
"440",1.34800000000016
"441",1.34800000000016
"442",1.34800000000016
"443",1.34800000000016
"444",1.34800000000016
"445",0.06
"446",0.622200000000616
"447",0.622200000000616
"448",0.622200000000616
"449",0.622200000000616
"450",0.622200000000616
"451",0.622200000000616
"452",3.2954000000003
"453",3.2954000000003
"454",3.2954000000003
"455",3.2954000000003
"456",3.2954000000003
"457",3.2954000000003
"458",3.2954000000003
"459",3.2954000000003
"460",3.2954000000003
"461",3.2954000000003
"462",0.789922239999267
"463",2.27
"464",0.873426666666385
"465",1.12033087999985
"466",0.78
"467",1.25611519999998
"468",3.64071519999594
"469",1.9829120000002
"470",0.32
"471",1.72749200000137
"472",0.668333333333361
"473",2.04194047999991
"474",0.74
"475",NA
"476",0.74
"477",0.87
"478",0.53
"479",1.51279999999993
"480",NA
"481",NA
"482",NA
"483",NA
"484",2.41
"485",2.62250000000089
"486",2.62250000000089
"487",2.62250000000089
"488",2.62250000000089
"489",2.62250000000089
"490",1.19
"491",2.47
"492",2.38250000000024
"493",2.38250000000024
"494",0.72
"495",4.01
"496",0.754666666667057
"497",0.74
"498",0.74
"499",0.852500000000041
"500",0.39
"501",0.32
"502",0.32
"503",0.58
"504",1
"505",1.16
"506",1.92
"507",1.17000000000131
"508",4.08
"509",0.52
"510",0.52
"511",4.08
"512",0.52
"513",0.52
"514",0.52
"515",0.52
"516",0.52
"517",0.52
"518",0.52
"519",0.52
"520",0.52
"521",0.52
"522",0.52
"523",0.52
"524",0.631666666667022
"525",2.68166666666171
"526",2.68166666666171
"527",2.68166666666171
"528",2.68166666666171
"529",3.39
"530",4.04
"531",4.04
"532",5.03
"533",5.03
"534",5.03
"535",5.03
"536",5.03
"537",1.58
"538",2.78249999999711
"539",1.33
"540",4.95
"541",0.61
"542",0.61
"543",0.88
"544",0.62
"545",0.87
"546",0.71
"547",0.71
"548",1.5825
"549",0.67
"550",0.67
"551",0.53
"552",0.54
"553",1.94
"554",0.53
"555",0.5
"556",4.97833355999981
"557",4.97833355999981
"558",5.00099999999987
"559",1.16
"560",4.95
"561",0.52
"562",0.74
"563",0.74
"564",0.47
"565",0.8
"566",0.52
"567",0.74
"568",1.76
"569",2.84917333333331
"570",3.89380080000351
"571",0.58
"572",1.34
"573",0.557469013333274
"574",0.769626666666601
"575",NA
"576",1.62
"577",0.47
"578",2.03
"579",3.96
"580",2.52
"581",2.12
"582",1.92
"583",1.03739999999974
"584",1.03739999999974
"585",0.48
"586",0.48
"587",0.5
"588",0.5
"589",0.731700000000023
"590",0.731700000000023
"591",2.71
"592",2.71
"593",2.71
"594",1.16
"595",1.16
"596",1.16
"597",0.46400000000004
"598",0.46400000000004
