"","co"
"1",364.246571428571
"2",364.246571428571
"3",364.246571428571
"4",364.246571428571
"5",364.246571428571
"6",364.246571428571
"7",364.246571428571
"8",364.246571428571
"9",364.246571428571
"10",364.246571428571
"11",364.246571428571
"12",364.246571428571
"13",364.246571428571
"14",364.246571428571
"15",364.246571428571
"16",364.246571428571
"17",364.246571428571
"18",364.246571428571
"19",364.246571428571
"20",364.246571428571
"21",364.246571428571
"22",364.246571428571
"23",364.246571428571
"24",364.246571428571
"25",364.246571428571
"26",364.246571428571
"27",364.246571428571
"28",364.246571428571
"29",364.246571428571
"30",364.246571428571
"31",364.246571428571
"32",364.246571428571
"33",364.246571428571
"34",364.246571428571
"35",364.246571428571
"36",364.246571428571
"37",364.246571428571
"38",364.246571428571
"39",364.246571428571
"40",364.246571428571
"41",364.246571428571
"42",364.246571428571
"43",364.246571428571
"44",364.246571428571
"45",364.246571428571
"46",364.246571428571
"47",364.246571428571
"48",364.246571428571
"49",364.246571428571
"50",364.246571428571
"51",364.246571428571
"52",364.246571428571
"53",364.246571428571
"54",364.246571428571
"55",364.246571428571
"56",364.246571428571
"57",364.246571428571
"58",364.246571428571
"59",364.246571428571
"60",364.246571428571
"61",364.246571428571
"62",364.246571428571
"63",364.246571428571
"64",364.246571428571
"65",364.246571428571
"66",364.246571428571
"67",364.246571428571
"68",364.246571428571
"69",364.246571428571
"70",364.246571428571
"71",364.246571428571
"72",364.246571428571
"73",364.246571428571
"74",364.246571428571
"75",364.246571428571
"76",364.246571428571
"77",364.246571428571
"78",364.246571428571
"79",364.246571428571
"80",364.246571428571
"81",364.246571428571
"82",364.246571428571
"83",364.246571428571
"84",364.246571428571
"85",364.246571428571
"86",364.246571428571
"87",364.246571428571
"88",364.246571428571
"89",364.246571428571
"90",364.246571428571
"91",364.246571428571
"92",364.246571428571
"93",364.246571428571
"94",364.246571428571
"95",364.246571428571
"96",364.246571428571
"97",364.246571428571
"98",364.246571428571
"99",364.246571428571
"100",364.246571428571
"101",364.246571428571
"102",364.246571428571
"103",364.246571428571
"104",364.246571428571
"105",364.246571428571
"106",364.246571428571
"107",364.246571428571
"108",364.246571428571
"109",364.246571428571
"110",364.246571428571
"111",364.246571428571
"112",364.246571428571
"113",364.246571428571
"114",364.246571428571
"115",364.246571428571
"116",364.246571428571
"117",364.246571428571
"118",364.246571428571
"119",364.246571428571
"120",364.246571428571
"121",364.246571428571
"122",364.246571428571
"123",364.246571428571
"124",364.246571428571
"125",364.246571428571
"126",364.246571428571
"127",364.246571428571
"128",364.246571428571
"129",364.246571428571
"130",364.246571428571
"131",364.246571428571
"132",364.246571428571
"133",364.246571428571
"134",364.246571428571
"135",364.246571428571
"136",364.246571428571
"137",364.246571428571
"138",364.246571428571
"139",364.246571428571
"140",364.246571428571
"141",364.246571428571
"142",364.246571428571
"143",364.246571428571
"144",364.246571428571
"145",364.246571428571
"146",364.246571428571
"147",364.246571428571
"148",364.246571428571
"149",364.246571428571
"150",364.246571428571
"151",364.246571428571
"152",364.246571428571
"153",364.246571428571
"154",364.246571428571
"155",364.246571428571
"156",364.246571428571
"157",364.246571428571
"158",364.246571428571
"159",364.246571428571
"160",364.246571428571
"161",364.246571428571
"162",364.246571428571
"163",364.246571428571
"164",364.246571428571
"165",364.246571428571
"166",364.246571428571
"167",364.246571428571
"168",364.246571428571
"169",364.246571428571
"170",364.246571428571
"171",364.246571428571
"172",364.246571428571
"173",364.246571428571
"174",364.246571428571
"175",364.246571428571
"176",364.246571428571
"177",364.246571428571
"178",364.246571428571
"179",364.246571428571
"180",364.246571428571
"181",364.246571428571
"182",364.246571428571
"183",364.246571428571
"184",364.246571428571
"185",364.246571428571
"186",364.246571428571
"187",364.246571428571
"188",364.246571428571
"189",364.246571428571
"190",364.246571428571
"191",364.246571428571
"192",364.246571428571
"193",364.246571428571
"194",364.246571428571
"195",364.246571428571
"196",364.246571428571
"197",364.246571428571
"198",364.246571428571
"199",364.246571428571
"200",364.246571428571
"201",364.246571428571
"202",364.246571428571
"203",364.246571428571
"204",364.246571428571
"205",364.246571428571
"206",364.246571428571
"207",364.246571428571
"208",364.246571428571
"209",364.246571428571
"210",364.246571428571
"211",364.246571428571
"212",364.246571428571
"213",364.246571428571
"214",364.246571428571
"215",364.246571428571
"216",364.246571428571
"217",364.246571428571
"218",364.246571428571
"219",364.246571428571
"220",364.246571428571
"221",364.246571428571
"222",364.246571428571
"223",364.246571428571
"224",364.246571428571
"225",364.246571428571
"226",364.246571428571
"227",364.246571428571
"228",364.246571428571
"229",364.246571428571
"230",364.246571428571
"231",364.246571428571
"232",364.246571428571
"233",364.246571428571
"234",364.246571428571
"235",364.246571428571
"236",364.246571428571
"237",364.246571428571
"238",364.246571428571
"239",364.246571428571
"240",364.246571428571
"241",364.246571428571
"242",364.246571428571
"243",364.246571428571
"244",364.246571428571
"245",364.246571428571
"246",364.246571428571
"247",364.246571428571
"248",364.246571428571
"249",364.246571428571
"250",364.246571428571
"251",364.246571428571
"252",364.246571428571
"253",364.246571428571
"254",364.246571428571
"255",364.246571428571
"256",364.246571428571
"257",364.246571428571
"258",364.246571428571
"259",364.246571428571
"260",364.246571428571
"261",364.246571428571
"262",364.246571428571
"263",364.246571428571
"264",364.246571428571
"265",364.246571428571
"266",364.246571428571
"267",364.246571428571
"268",364.246571428571
"269",364.246571428571
"270",364.246571428571
"271",364.246571428571
"272",364.246571428571
"273",364.246571428571
"274",364.246571428571
"275",364.246571428571
"276",364.246571428571
"277",364.246571428571
"278",364.246571428571
"279",364.246571428571
"280",364.246571428571
"281",364.246571428571
"282",364.246571428571
"283",364.246571428571
"284",364.246571428571
"285",364.246571428571
"286",364.246571428571
"287",364.246571428571
"288",364.246571428571
"289",364.246571428571
"290",364.246571428571
"291",364.246571428571
"292",364.246571428571
"293",364.246571428571
"294",364.246571428571
"295",364.246571428571
"296",364.246571428571
"297",364.246571428571
"298",364.246571428571
"299",364.246571428571
"300",364.246571428571
"301",364.246571428571
"302",364.246571428571
"303",364.246571428571
"304",364.246571428571
"305",364.246571428571
"306",364.246571428571
"307",364.246571428571
"308",364.246571428571
"309",364.246571428571
"310",364.246571428571
"311",364.246571428571
"312",364.246571428571
"313",364.246571428571
"314",364.246571428571
"315",364.246571428571
"316",364.246571428571
"317",364.246571428571
"318",364.246571428571
"319",364.246571428571
"320",364.246571428571
"321",364.246571428571
"322",364.246571428571
"323",364.246571428571
"324",364.246571428571
"325",364.246571428571
"326",364.246571428571
"327",364.246571428571
"328",364.246571428571
"329",364.246571428571
"330",364.246571428571
"331",364.246571428571
"332",364.246571428571
"333",364.246571428571
"334",364.246571428571
"335",364.246571428571
"336",364.246571428571
"337",364.246571428571
"338",364.246571428571
"339",364.246571428571
"340",364.246571428571
"341",364.246571428571
"342",364.246571428571
"343",364.246571428571
"344",364.246571428571
"345",364.246571428571
"346",364.246571428571
"347",364.246571428571
"348",364.246571428571
"349",364.246571428571
"350",364.246571428571
"351",364.246571428571
"352",364.246571428571
"353",364.246571428571
"354",364.246571428571
"355",364.246571428571
"356",364.246571428571
"357",364.246571428571
"358",364.246571428571
"359",364.246571428571
"360",364.246571428571
"361",364.246571428571
"362",364.246571428571
"363",364.246571428571
"364",364.246571428571
"365",364.246571428571
"366",364.246571428571
"367",364.246571428571
"368",364.246571428571
"369",364.246571428571
"370",364.246571428571
"371",364.246571428571
"372",364.246571428571
"373",364.246571428571
"374",364.246571428571
"375",364.246571428571
"376",364.246571428571
"377",364.246571428571
"378",364.246571428571
"379",364.246571428571
"380",364.246571428571
"381",364.246571428571
"382",364.246571428571
"383",364.246571428571
"384",364.246571428571
"385",364.246571428571
"386",364.246571428571
"387",364.246571428571
"388",364.246571428571
"389",364.246571428571
"390",364.246571428571
"391",364.246571428571
"392",364.246571428571
"393",364.246571428571
"394",364.246571428571
"395",364.246571428571
"396",364.246571428571
"397",364.246571428571
"398",364.246571428571
"399",364.246571428571
"400",364.246571428571
"401",364.246571428571
"402",364.246571428571
"403",364.246571428571
"404",364.246571428571
"405",364.246571428571
"406",364.246571428571
"407",364.246571428571
"408",364.246571428571
"409",364.246571428571
"410",364.246571428571
"411",364.246571428571
"412",364.246571428571
"413",364.246571428571
"414",364.246571428571
"415",364.246571428571
"416",364.246571428571
"417",364.246571428571
"418",364.246571428571
"419",364.246571428571
"420",364.246571428571
"421",364.246571428571
"422",364.246571428571
"423",364.246571428571
"424",364.246571428571
"425",364.246571428571
"426",364.246571428571
"427",364.246571428571
"428",364.246571428571
"429",364.246571428571
"430",364.246571428571
"431",364.246571428571
"432",364.246571428571
"433",364.246571428571
"434",364.246571428571
"435",364.246571428571
"436",364.246571428571
"437",364.246571428571
"438",364.246571428571
"439",364.246571428571
"440",364.246571428571
"441",364.246571428571
"442",364.246571428571
"443",364.246571428571
"444",364.246571428571
"445",364.246571428571
"446",364.246571428571
"447",364.246571428571
"448",364.246571428571
"449",364.246571428571
"450",364.246571428571
"451",364.246571428571
"452",364.246571428571
"453",364.246571428571
"454",364.246571428571
"455",364.246571428571
"456",364.246571428571
"457",364.246571428571
"458",364.246571428571
"459",364.246571428571
"460",364.246571428571
"461",364.246571428571
"462",364.246571428571
"463",364.246571428571
"464",364.246571428571
"465",364.246571428571
"466",364.246571428571
"467",364.246571428571
"468",364.246571428571
"469",364.246571428571
"470",364.246571428571
"471",364.246571428571
"472",364.246571428571
"473",364.246571428571
"474",364.246571428571
"475",364.246571428571
"476",364.246571428571
"477",364.246571428571
"478",364.246571428571
"479",364.246571428571
"480",364.246571428571
"481",364.246571428571
"482",364.246571428571
"483",364.246571428571
"484",364.246571428571
"485",364.246571428571
"486",364.246571428571
"487",364.246571428571
"488",364.246571428571
"489",364.246571428571
"490",364.246571428571
"491",364.246571428571
"492",364.246571428571
"493",364.246571428571
"494",364.246571428571
"495",364.246571428571
"496",364.246571428571
"497",364.246571428571
"498",364.246571428571
"499",364.246571428571
"500",364.246571428571
"501",364.246571428571
"502",364.246571428571
"503",364.246571428571
"504",364.246571428571
"505",364.246571428571
"506",364.246571428571
"507",364.246571428571
"508",364.246571428571
"509",364.246571428571
"510",364.246571428571
"511",364.246571428571
"512",364.246571428571
"513",364.246571428571
"514",364.246571428571
"515",364.246571428571
"516",364.246571428571
"517",364.246571428571
"518",364.246571428571
"519",364.246571428571
"520",364.246571428571
"521",364.246571428571
"522",364.246571428571
"523",364.246571428571
"524",364.246571428571
"525",364.246571428571
"526",364.246571428571
"527",364.246571428571
"528",364.246571428571
"529",364.246571428571
"530",364.246571428571
"531",364.246571428571
"532",364.246571428571
"533",364.246571428571
"534",364.246571428571
"535",364.246571428571
"536",364.246571428571
"537",364.246571428571
"538",364.246571428571
"539",364.246571428571
"540",364.246571428571
"541",364.246571428571
"542",364.246571428571
"543",364.246571428571
"544",364.246571428571
"545",364.246571428571
"546",364.246571428571
"547",364.246571428571
"548",364.246571428571
"549",364.246571428571
"550",364.246571428571
"551",364.246571428571
"552",364.246571428571
"553",364.246571428571
"554",364.246571428571
"555",364.246571428571
"556",364.246571428571
"557",364.246571428571
"558",364.246571428571
"559",364.246571428571
"560",364.246571428571
"561",364.246571428571
"562",364.246571428571
"563",364.246571428571
"564",364.246571428571
"565",364.246571428571
"566",364.246571428571
"567",364.246571428571
"568",364.246571428571
"569",364.246571428571
"570",364.246571428571
"571",364.246571428571
"572",364.246571428571
"573",364.246571428571
"574",364.246571428571
"575",364.246571428571
"576",364.246571428571
"577",364.246571428571
"578",364.246571428571
"579",364.246571428571
"580",364.246571428571
"581",364.246571428571
"582",364.246571428571
"583",364.246571428571
"584",364.246571428571
"585",364.246571428571
"586",364.246571428571
"587",364.246571428571
"588",364.246571428571
"589",364.246571428571
"590",364.246571428571
"591",364.246571428571
"592",364.246571428571
"593",364.246571428571
"594",364.246571428571
"595",364.246571428571
"596",364.246571428571
"597",364.246571428571
"598",364.246571428571
"599",364.246571428571
"600",364.246571428571
"601",364.246571428571
"602",364.246571428571
"603",364.246571428571
"604",364.246571428571
"605",364.246571428571
"606",364.246571428571
"607",364.246571428571
"608",364.246571428571
"609",364.246571428571
"610",364.246571428571
"611",364.246571428571
"612",364.246571428571
"613",364.246571428571
"614",364.246571428571
"615",364.246571428571
"616",364.246571428571
"617",364.246571428571
"618",364.246571428571
"619",364.246571428571
"620",364.246571428571
"621",364.246571428571
"622",364.246571428571
"623",364.246571428571
"624",364.246571428571
"625",364.246571428571
"626",364.246571428571
"627",364.246571428571
"628",364.246571428571
"629",364.246571428571
"630",364.246571428571
"631",364.246571428571
"632",364.246571428571
"633",364.246571428571
"634",364.246571428571
"635",364.246571428571
"636",364.246571428571
"637",364.246571428571
"638",364.246571428571
"639",364.246571428571
"640",364.246571428571
"641",364.246571428571
"642",364.246571428571
"643",364.246571428571
"644",364.246571428571
"645",364.246571428571
"646",364.246571428571
"647",364.246571428571
"648",364.246571428571
"649",364.246571428571
"650",364.246571428571
"651",364.246571428571
"652",364.246571428571
"653",364.246571428571
"654",364.246571428571
"655",364.246571428571
"656",364.246571428571
"657",364.246571428571
"658",364.246571428571
"659",364.246571428571
"660",364.246571428571
"661",364.246571428571
"662",364.246571428571
"663",364.246571428571
"664",364.246571428571
"665",364.246571428571
"666",364.246571428571
"667",364.246571428571
"668",364.246571428571
"669",364.246571428571
"670",364.246571428571
"671",364.246571428571
"672",364.246571428571
"673",364.246571428571
"674",364.246571428571
"675",364.246571428571
"676",364.246571428571
"677",364.246571428571
"678",364.246571428571
"679",364.246571428571
"680",364.246571428571
"681",364.246571428571
"682",364.246571428571
"683",364.246571428571
"684",364.246571428571
"685",364.246571428571
"686",364.246571428571
"687",364.246571428571
"688",364.246571428571
"689",364.246571428571
"690",364.246571428571
"691",364.246571428571
"692",364.246571428571
"693",364.246571428571
"694",364.246571428571
"695",364.246571428571
"696",364.246571428571
"697",364.246571428571
"698",364.246571428571
"699",364.246571428571
"700",364.246571428571
"701",364.246571428571
"702",364.246571428571
"703",364.246571428571
"704",364.246571428571
"705",364.246571428571
"706",364.246571428571
"707",364.246571428571
"708",364.246571428571
"709",364.246571428571
"710",364.246571428571
"711",364.246571428571
"712",364.246571428571
"713",364.246571428571
"714",364.246571428571
"715",364.246571428571
"716",364.246571428571
"717",364.246571428571
"718",364.246571428571
"719",364.246571428571
"720",364.246571428571
"721",364.246571428571
"722",364.246571428571
"723",364.246571428571
"724",364.246571428571
"725",364.246571428571
"726",364.246571428571
"727",364.246571428571
"728",364.246571428571
"729",364.246571428571
"730",364.246571428571
"731",364.246571428571
"732",364.246571428571
"733",364.246571428571
"734",364.246571428571
"735",364.246571428571
"736",364.246571428571
"737",364.246571428571
"738",364.246571428571
"739",364.246571428571
"740",364.246571428571
"741",364.246571428571
"742",364.246571428571
"743",364.246571428571
"744",364.246571428571
"745",364.246571428571
"746",364.246571428571
