"","ppfd"
"1",41.2332025
"2",41.2332025
"3",41.2332025
"4",41.2332025
"5",41.2332025
"6",41.2332025
"7",41.2332025
"8",41.2332025
"9",30.7180650000005
"10",30.7180650000005
"11",30.7180650000005
"12",30.7180650000005
"13",30.7180650000005
"14",30.7180650000005
"15",30.7180650000005
"16",30.7180650000005
"17",30.7180650000005
"18",30.7180650000005
"19",30.7180650000005
"20",30.7180650000005
"21",30.7180650000005
"22",30.7180650000005
"23",30.7180650000005
"24",30.7180650000005
"25",30.7180650000005
"26",30.7180650000005
"27",30.7180650000005
"28",30.7180650000005
"29",30.7180650000005
"30",30.7180650000005
"31",30.7180650000005
"32",30.7180650000005
"33",30.7180650000005
"34",30.7180650000005
"35",30.7180650000005
"36",30.7180650000005
"37",30.7180650000005
"38",30.7180650000005
"39",30.7180650000005
"40",30.7180650000005
"41",30.7180650000005
"42",30.7180650000005
"43",30.7180650000005
"44",30.7180650000005
"45",30.7180650000005
"46",30.7180650000005
"47",30.7180650000005
"48",30.7180650000005
"49",30.7180650000005
"50",30.7180650000005
"51",30.7180650000005
"52",30.7180650000005
"53",30.7180650000005
"54",30.7180650000005
"55",30.7180650000005
"56",30.7180650000005
"57",30.7180650000005
"58",30.7180650000005
"59",30.7180650000005
"60",30.7180650000005
"61",30.7180650000005
"62",30.7180650000005
"63",30.7180650000005
"64",30.7180650000005
"65",30.7180650000005
"66",30.7180650000005
"67",30.7180650000005
"68",30.7180650000005
"69",30.7180650000005
"70",30.7180650000005
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",35.5925175000006
"82",42.95356
"83",43.474797
"84",NA
"85",NA
"86",40.60144
"87",40.60144
"88",NA
"89",NA
"90",43.4825150000004
"91",34.8994275000007
"92",35.0560825
"93",35.0560825
"94",35.0560825
"95",35.0503025
"96",44.61973
"97",44.61973
"98",44.61973
"99",44.61973
"100",44.61973
"101",44.61973
"102",44.61973
"103",44.61973
"104",44.61973
"105",44.61973
"106",44.61973
"107",44.61973
"108",44.61973
"109",44.61973
"110",44.61973
"111",42.1608283079998
"112",42.1608283079998
"113",42.1608283079998
"114",42.1608283079998
"115",42.1608283079998
"116",42.1608283079998
"117",42.1607713308
"118",42.1607713308
"119",42.1607713308
"120",42.1607713308
"121",42.1607713308
"122",42.1607713308
"123",NA
"124",42.5807925
"125",42.5807925
"126",42.5807925
"127",42.5807925
"128",42.5807925
"129",42.5807925
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
