"","pressure"
"1",100666.063019569
"2",100666.063019569
"3",100666.063019569
"4",100666.063019569
"5",100666.063019569
"6",100666.063019569
"7",100666.063019569
"8",100666.063019569
"9",101312.988235949
"10",101312.988235949
"11",101312.988235949
"12",101312.988235949
"13",101312.988235949
"14",101312.988235949
"15",101312.988235949
"16",101312.988235949
"17",101312.988235949
"18",101312.988235949
"19",101312.988235949
"20",101312.988235949
"21",101312.988235949
"22",101312.988235949
"23",101312.988235949
"24",101312.988235949
"25",101312.988235949
"26",101312.988235949
"27",101312.988235949
"28",101312.988235949
"29",101312.988235949
"30",101312.988235949
"31",101312.988235949
"32",101312.988235949
"33",101312.988235949
"34",101312.988235949
"35",101312.988235949
"36",101312.988235949
"37",101312.988235949
"38",101312.988235949
"39",101312.988235949
"40",101312.988235949
"41",101312.988235949
"42",101312.988235949
"43",101312.988235949
"44",101312.988235949
"45",101312.988235949
"46",101312.988235949
"47",101312.988235949
"48",101312.988235949
"49",101312.988235949
"50",101312.988235949
"51",101312.988235949
"52",101312.988235949
"53",101312.988235949
"54",101312.988235949
"55",101312.988235949
"56",101312.988235949
"57",101312.988235949
"58",101312.988235949
"59",101312.988235949
"60",101312.988235949
"61",101312.988235949
"62",101312.988235949
"63",101312.988235949
"64",101312.988235949
"65",101312.988235949
"66",101312.988235949
"67",101312.988235949
"68",101312.988235949
"69",101312.988235949
"70",101312.988235949
"71",74113.4475241996
"72",100367.695527845
"73",100989.106177873
"74",97179.0938151875
"75",97179.0938151875
"76",97179.0938151875
"77",97179.0938151875
"78",98992.6244301827
"79",101252.946709582
"80",91611.0353390222
"81",91699.6380363937
"82",100105.724848248
"83",100200.922773911
"84",99879.9232619236
"85",96380.4823415641
"86",100713.868395365
"87",100713.868395365
"88",101084.983699817
"89",101084.983699817
"90",83936.3414938125
"91",91378.7830273005
"92",94005.169035387
"93",94005.169035387
"94",94005.169035387
"95",96138.4843790015
"96",100475.025217922
"97",100475.025217922
"98",100475.025217922
"99",100475.025217922
"100",100475.025217922
"101",100475.025217922
"102",100475.025217922
"103",100475.025217922
"104",100475.025217922
"105",100475.025217922
"106",100475.025217922
"107",100475.025217922
"108",100475.025217922
"109",100475.025217922
"110",100475.025217922
"111",100367.695527845
"112",100367.695527845
"113",100367.695527845
"114",100367.695527845
"115",100367.695527845
"116",100367.695527845
"117",100367.695527845
"118",100367.695527845
"119",100367.695527845
"120",100367.695527845
"121",100367.695527845
"122",100367.695527845
"123",97423.2100875487
"124",100415.386145044
"125",100415.386145044
"126",100415.386145044
"127",100415.386145044
"128",100415.386145044
"129",100415.386145044
"130",98627.7437164976
"131",98627.7437164976
"132",98627.7437164976
"133",98627.7437164976
"134",98627.7437164976
"135",98627.7437164976
"136",98627.7437164976
"137",98627.7437164976
"138",98627.7437164976
"139",98627.7437164976
"140",98627.7437164976
