Longitude,Latitude
-60,-3
-60,-3
-60,-3
-60,-3
-60,-3
-60,-3
-60,-3
-60,-3
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
113.8,4
145.1833333,-6
-78,8.5
-77,18
106.5,22
106.5,22
106.5,22
106.5,22
110.65,23
113.7,23
111.7,25
105.8,25
83,25
83.03,25
109.2,25
116.4,25
92.5,25
92.5,25
119.3,26
119.3,26
101.7,26
110.4,26
110.6,26
110.6,26
110.6,26
108,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83,26
83.88333,27
83.88333,27
83.88333,27
83.88333,27
83.88333,27
83.88333,27
83.883333,27
83.883333,27
83.883333,27
83.883333,27
83.883333,27
83.883333,27
118.1,27
83.5,27
83.5,27
83.5,27
83.5,27
83.5,27
83.5,27
117.87,27
117.87,27
117.87,27
117.87,27
117.87,27
117.87,27
117.87,27
117.87,27
117.87,27
117.87,27
117.87,27
117.87,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
83.88,27
118.9,27
117.6,27
117.1,27
101.75,28
102.5,28
106.5,28
120,28
109.9,21.25
107.95,25.25
107.98,25.25
107.98,26.25
116.8,26.25
116.8,26.25
116.8,26.25
116.8,26.25
113.83,26.25
113.68,26.25
113.37,26.25
118.5,27.25
108.45,28.25
108.12,28.25
108.12,28.25
108.43,28.25
106.43,28.25
110.73,19.5
101.55,21.5
101.55,21.5
109.683,21.5
109.683,21.5
109.683,21.5
100.5,21.5
100.5,21.5
100.5,21.5
100.5,21.5
113.78,25.5
108.62,25.5
118.25,25.5
118.25,25.5
118.25,25.5
111.37,25.5
99.13,25.5
108.45,25.5
110.25,25.5
114.4,26.5
114.4,26.5
113.7,26.5
114.05,26.5
118.87,26.5
118.1,26.5
110.1,26.5
117.6,27.5
120.6,28.5
106.32,28.5
110.17,29.5
110.17,29.5
110.17,29.5
99.08,17.75
99.08,17.75
99.08,17.75
108.4,21.75
105.08,23.75
105.08,23.75
109.67,23.75
109.67,23.75
109.67,23.75
109.67,23.75
109.67,23.75
109.67,23.75
109.67,23.75
109.67,23.75
109.67,23.75
106,24.75
108.05,25.75
109.8,25.75
108.08,25.75
104.62,25.75
109.35,26.75
115.07,26.75
80.85,26.75
80.85,26.75
80.85,26.75
110.3077,21.6866
118.1008,27.0009
109.402,26.1223
101.509226,24.261305
118.3027,26.8071
104.6853,18.6214
109.5809,27.6214
116.3081,25.8053
108.3278,25.9883
117.4095,27.3026
-2.083854,4.844202
111.0486,25.1749
106.656,26.2374
117.4065,26.1079
111.5077,24.107
-4.03333,5.383333
3.93333,7.383333
117.5098,26.1061
111.504,24.1043
107.7936,25.4793
101.641854,3.022291
108.1988,28.9757
98.675345,18.804999
113.712,23.2221
114.501,28.4096
