"","tc"
"1",27.4744733321199
"2",27.4744733321199
"3",27.4744733321199
"4",27.4744733321199
"5",27.4744733321199
"6",27.4744733321199
"7",27.4744733321199
"8",27.4744733321199
"9",24.37576727435
"10",24.37576727435
"11",24.37576727435
"12",24.37576727435
"13",24.37576727435
"14",24.37576727435
"15",24.37576727435
"16",24.37576727435
"17",24.37576727435
"18",24.37576727435
"19",24.37576727435
"20",24.37576727435
"21",24.37576727435
"22",24.37576727435
"23",24.37576727435
"24",24.37576727435
"25",24.37576727435
"26",24.37576727435
"27",24.37576727435
"28",24.37576727435
"29",24.37576727435
"30",24.37576727435
"31",24.37576727435
"32",24.37576727435
"33",24.37576727435
"34",24.37576727435
"35",24.37576727435
"36",24.37576727435
"37",24.37576727435
"38",24.37576727435
"39",24.37576727435
"40",24.37576727435
"41",24.37576727435
"42",24.37576727435
"43",24.37576727435
"44",24.37576727435
"45",24.37576727435
"46",24.37576727435
"47",24.37576727435
"48",24.37576727435
"49",24.37576727435
"50",24.37576727435
"51",24.37576727435
"52",24.37576727435
"53",24.37576727435
"54",24.37576727435
"55",24.37576727435
"56",24.37576727435
"57",24.37576727435
"58",24.37576727435
"59",24.37576727435
"60",24.37576727435
"61",24.37576727435
"62",24.37576727435
"63",24.37576727435
"64",24.37576727435
"65",24.37576727435
"66",24.37576727435
"67",24.37576727435
"68",24.37576727435
"69",24.37576727435
"70",24.37576727435
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",26.191492572953
"82",29.8783344339458
"83",30.2591288399087
"84",NA
"85",NA
"86",26.6844000725058
"87",26.6844000725058
"88",NA
"89",NA
"90",23.3245946143511
"91",25.1374573588885
"92",25.0730035847696
"93",25.0730035847696
"94",25.0730035847696
"95",23.9131305254613
"96",30.070047823617
"97",30.070047823617
"98",30.070047823617
"99",30.070047823617
"100",30.070047823617
"101",30.070047823617
"102",30.070047823617
"103",30.070047823617
"104",30.070047823617
"105",30.070047823617
"106",30.070047823617
"107",30.070047823617
"108",30.070047823617
"109",30.070047823617
"110",30.070047823617
"111",25.4653194238811
"112",25.4653194238811
"113",25.4653194238811
"114",25.4653194238811
"115",25.4653194238811
"116",25.4653194238811
"117",25.4653194238811
"118",25.4653194238811
"119",25.4653194238811
"120",25.4653194238811
"121",25.4653194238811
"122",25.4653194238811
"123",NA
"124",25.9384482622957
"125",25.9384482622957
"126",25.9384482622957
"127",25.9384482622957
"128",25.9384482622957
"129",25.9384482622957
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",25.4653194238811
"143",25.4653194238811
"144",25.4653194238811
"145",25.4653194238811
"146",25.4653194238811
"147",25.4653194238811
"148",25.4653194238811
"149",25.4653194238811
"150",25.4653194238811
"151",25.4653194238811
"152",25.4653194238811
"153",25.4653194238811
"154",25.4653194238811
"155",25.4653194238811
"156",25.4653194238811
"157",25.4653194238811
"158",25.4653194238811
"159",25.4653194238811
"160",NA
"161",NA
"162",NA
"163",19.8957447283368
"164",19.0664735537902
"165",23.9046046862673
"166",NA
"167",NA
"168",NA
"169",NA
"170",24.3828106267226
"171",NA
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",24.3697302690704
"178",NA
"179",23.0095450612311
"180",21.2434779603869
"181",21.2434779603869
"182",22.948048396435
"183",20.7347140155658
"184",NA
"185",28.3693218058529
"186",28.3693218058529
"187",NA
"188",NA
"189",NA
"190",29.3542695006646
"191",29.3542695006646
"192",29.3542695006646
"193",29.3542695006646
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",25.2181968234904
"200",23.9040239295022
"201",25.0067800288526
"202",25.5460274182869
"203",25.0047736892304
"204",25.0047736892304
"205",NA
"206",24.6832990692829
"207",NA
"208",NA
"209",25.0435996457867
"210",NA
"211",NA
"212",17.8305670104954
"213",21.8530764665867
"214",21.8530764665867
"215",21.8530764665867
"216",29.5539552614807
"217",29.5539552614807
"218",29.5539552614807
"219",NA
"220",25.0908833370338
"221",25.0908833370338
"222",25.832763310395
"223",25.832763310395
"224",25.832763310395
"225",25.832763310395
"226",25.832763310395
"227",25.832763310395
"228",25.832763310395
"229",25.832763310395
"230",25.832763310395
"231",26.1705581445448
"232",20.9293340009791
"233",24.6124855530336
"234",23.3185732182831
"235",24.9896854957393
"236",24.7722562076131
"237",24.9271927938853
"238",27.7673372541034
"239",27.7673372541034
"240",27.7673372541034
"241",NA
"242",NA
"243",24.8716250863699
"244",25.1495816416613
"245",NA
"246",29.2560331367974
"247",24.0012508059216
"248",NA
"249",24.4263532472254
"250",NA
"251",NA
"252",NA
"253",22.4203058955359
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",22.4449379131768
"261",27.5659778650062
"262",22.6912659454895
"263",25.213026109966
"264",NA
"265",21.2251725199534
"266",20.8648300827813
"267",24.9200227063685
"268",22.5910035640823
"269",NA
"270",22.7005781348918
"271",30.1910529951845
"272",30.1910529951845
"273",26.3660592730033
"274",26.3660592730033
"275",24.1990517343286
"276",NA
"277",26.0694515105133
"278",24.9056066170104
"279",NA
"280",24.1472136695096
"281",24.4502818216933
"282",25.1725378475589
"283",24.0099422448841
"284",NA
"285",NA
"286",NA
"287",NA
"288",NA
"289",NA
"290",NA
"291",NA
"292",NA
"293",NA
"294",NA
"295",NA
"296",NA
"297",NA
"298",NA
"299",NA
"300",25.2565956204038
"301",25.2565956204038
"302",29.629922224512
"303",24.9223749974756
"304",24.5470286847832
"305",23.7308121569439
"306",24.351278173973
"307",NA
"308",NA
"309",NA
"310",NA
"311",NA
"312",NA
"313",24.9087767205635
"314",24.9087767205635
"315",24.9087767205635
"316",NA
"317",22.297977560904
"318",NA
"319",23.2046054601597
"320",25.9706522425301
"321",23.9005544857113
"322",22.5764602974881
"323",24.9538866053526
"324",20.5602295580939
"325",25.0017791409281
"326",NA
"327",NA
"328",24.9251608605459
"329",24.9251608605459
"330",24.9251608605459
"331",24.9319185488409
"332",21.9387238402401
"333",NA
"334",NA
"335",24.1935176302543
"336",25.4816230200528
"337",23.6396420197605
"338",NA
"339",NA
"340",18.4301281059002
"341",24.7340497024172
"342",NA
"343",24.7394277371429
"344",NA
"345",NA
"346",NA
"347",27.67078522771
"348",NA
"349",23.4177116454578
"350",24.9770212820319
"351",25.0341678943897
"352",23.1965492226354
"353",24.5506799131242
"354",22.4608790150017
"355",NA
"356",20.5005977260398
"357",25.5955629142323
"358",NA
"359",24.6806413893336
"360",24.3312755212452
"361",NA
"362",NA
"363",NA
"364",NA
"365",24.932438219685
"366",23.530352978001
"367",24.9461304819033
"368",24.191009669647
"369",29.2328468247442
"370",27.3710258203811
"371",25.0513430989258
"372",24.4684451345249
"373",20.641397362129
"374",24.3484483443982
"375",24.605421976706
"376",23.3328007009993
"377",23.9228364875962
"378",21.150215986368
"379",27.9354415465069
"380",NA
"381",25.4144602085956
"382",23.4596343572819
"383",NA
"384",NA
"385",23.156821332118
"386",22.4763504763695
"387",24.2777605977613
"388",24.7257978549139
"389",NA
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",NA
"396",17.5076280051634
"397",22.0279318982236
"398",25.0032737810106
"399",NA
"400",NA
"401",NA
"402",NA
"403",NA
"404",NA
"405",NA
"406",NA
"407",NA
"408",NA
"409",NA
"410",NA
"411",NA
"412",NA
